_time,id,ACTION,LOCATION,GATE
"""2018-11-23T13:21:00.000Z""",d50aaabc.193518,ENTER Security Lane,SEC-LANE-5,
"""2018-06-05T13:04:00.000Z""",10ee1fed.4a4f5,LEAVE Security Check,SEC-POS-2,
"""2018-06-05T13:00:00.000Z""",10ee1fed.4a4f5,ENTER Security Check,SEC-POS-2,
"""2018-06-05T12:44:00.000Z""",10ee1fed.4a4f5,ENTER Security Lane,SEC-LANE-5,
"""2018-05-19T04:05:00.000Z""",f34dd64e.0538b8,LEAVE Security Check,SEC-POS-2,
"""2018-05-19T04:01:00.000Z""",f34dd64e.0538b8,ENTER Security Check,SEC-POS-2,
"""2018-05-19T03:45:00.000Z""",f34dd64e.0538b8,ENTER Security Lane,SEC-LANE-5,
"""2018-03-15T14:25:00.000Z""",7fde8d6f.9536d4,LEAVE Security Check,SEC-POS-2,
"""2018-03-15T14:21:00.000Z""",7fde8d6f.9536d4,ENTER Security Check,SEC-POS-2,
"""2018-03-15T14:05:00.000Z""",7fde8d6f.9536d4,ENTER Security Lane,SEC-LANE-5,
"""2018-12-02T11:04:00.000Z""",238da2d7.3d0b9e,LEAVE Security Check,SEC-POS-2,
"""2018-12-02T11:02:00.000Z""",238da2d7.3d0b9e,ENTER Security Check,SEC-POS-2,
"""2018-12-02T10:54:00.000Z""",238da2d7.3d0b9e,ENTER Security Lane,SEC-LANE-5,
"""2018-03-04T17:30:00.000Z""",387e9977.b01146,LEAVE Security Check,SEC-POS-2,
"""2018-03-04T17:24:00.000Z""",387e9977.b01146,ENTER Security Check,SEC-POS-2,
"""2018-03-04T17:00:00.000Z""",387e9977.b01146,ENTER Security Lane,SEC-LANE-5,
"""2018-12-04T10:39:00.000Z""",a8ba94bd.13ea28,LEAVE Security Check,SEC-POS-2,
"""2018-12-04T10:33:00.000Z""",a8ba94bd.13ea28,ENTER Security Check,SEC-POS-2,
"""2018-12-04T10:09:00.000Z""",a8ba94bd.13ea28,ENTER Security Lane,SEC-LANE-5,
"""2018-06-05T08:51:00.000Z""",d494583a.d23aa8,LEAVE Security Check,SEC-POS-2,
"""2018-06-05T08:45:00.000Z""",d494583a.d23aa8,ENTER Security Check,SEC-POS-2,
"""2018-06-05T08:21:00.000Z""",d494583a.d23aa8,ENTER Security Lane,SEC-LANE-5,
"""2018-08-08T17:03:00.000Z""",55517e75.86c5e,LEAVE Security Check,SEC-POS-2,
"""2018-08-08T16:57:00.000Z""",55517e75.86c5e,ENTER Security Check,SEC-POS-2,
"""2018-08-08T16:33:00.000Z""",55517e75.86c5e,ENTER Security Lane,SEC-LANE-5,
"""2018-09-07T16:15:00.000Z""",54eb81a7.b363a,LEAVE Security Check,SEC-POS-2,
"""2018-09-07T16:09:00.000Z""",54eb81a7.b363a,ENTER Security Check,SEC-POS-2,
"""2018-09-07T15:45:00.000Z""",54eb81a7.b363a,ENTER Security Lane,SEC-LANE-5,
"""2018-05-20T08:46:00.000Z""",2772ae30.c9e712,LEAVE Security Check,SEC-POS-2,
"""2018-05-20T08:40:00.000Z""",2772ae30.c9e712,ENTER Security Check,SEC-POS-2,
"""2018-05-20T08:16:00.000Z""",2772ae30.c9e712,ENTER Security Lane,SEC-LANE-5,
"""2018-05-22T08:19:00.000Z""",48cbf0f3.a0955,LEAVE Security Check,SEC-POS-2,
"""2018-05-22T08:13:00.000Z""",48cbf0f3.a0955,ENTER Security Check,SEC-POS-2,
"""2018-05-22T07:49:00.000Z""",48cbf0f3.a0955,ENTER Security Lane,SEC-LANE-5,
"""2018-06-06T13:41:00.000Z""",3ab5bd94.1a6d52,LEAVE Security Check,SEC-POS-2,
"""2018-06-06T13:37:00.000Z""",3ab5bd94.1a6d52,ENTER Security Check,SEC-POS-2,
"""2018-06-06T13:21:00.000Z""",3ab5bd94.1a6d52,ENTER Security Lane,SEC-LANE-5,
"""2018-10-13T07:13:00.000Z""",8f89ccbf.25edb,LEAVE Security Check,SEC-POS-2,
"""2018-10-13T07:07:00.000Z""",8f89ccbf.25edb,ENTER Security Check,SEC-POS-2,
"""2018-10-13T06:43:00.000Z""",8f89ccbf.25edb,ENTER Security Lane,SEC-LANE-5,
"""2018-09-17T09:29:00.000Z""",8a3f1194.aeab9,LEAVE Security Check,SEC-POS-2,
"""2018-09-17T09:27:00.000Z""",8a3f1194.aeab9,ENTER Security Check,SEC-POS-2,
"""2018-09-17T09:19:00.000Z""",8a3f1194.aeab9,ENTER Security Lane,SEC-LANE-5,
"""2018-07-29T12:44:00.000Z""",6ba368de.7255a8,LEAVE Security Check,SEC-POS-2,
"""2018-07-29T12:40:00.000Z""",6ba368de.7255a8,ENTER Security Check,SEC-POS-2,
"""2018-07-29T12:24:00.000Z""",6ba368de.7255a8,ENTER Security Lane,SEC-LANE-5,
"""2018-06-11T05:52:00.000Z""",ed9cd787.1005d8,LEAVE Security Check,SEC-POS-2,
"""2018-06-11T05:48:00.000Z""",ed9cd787.1005d8,ENTER Security Check,SEC-POS-2,
"""2018-06-11T05:32:00.000Z""",ed9cd787.1005d8,ENTER Security Lane,SEC-LANE-5,
"""2018-10-06T07:58:00.000Z""",1b89acab.327a53,LEAVE Security Check,SEC-POS-2,
"""2018-10-06T07:52:00.000Z""",1b89acab.327a53,ENTER Security Check,SEC-POS-2,
"""2018-10-06T07:28:00.000Z""",1b89acab.327a53,ENTER Security Lane,SEC-LANE-5,
"""2018-03-14T11:16:00.000Z""",8c47e4.2c7cb82,LEAVE Security Check,SEC-POS-2,
"""2018-03-14T11:10:00.000Z""",8c47e4.2c7cb82,ENTER Security Check,SEC-POS-2,
"""2018-03-14T10:46:00.000Z""",8c47e4.2c7cb82,ENTER Security Lane,SEC-LANE-5,
"""2018-09-28T18:25:00.000Z""",f55381ec.3dccf,LEAVE Security Check,SEC-POS-2,
"""2018-09-28T18:19:00.000Z""",f55381ec.3dccf,ENTER Security Check,SEC-POS-2,
"""2018-09-28T17:55:00.000Z""",f55381ec.3dccf,ENTER Security Lane,SEC-LANE-5,
"""2018-05-14T04:10:00.000Z""",18a4d5cd.c9ceba,LEAVE Security Check,SEC-POS-2,
"""2018-05-14T04:06:00.000Z""",18a4d5cd.c9ceba,ENTER Security Check,SEC-POS-2,
"""2018-05-14T03:50:00.000Z""",18a4d5cd.c9ceba,ENTER Security Lane,SEC-LANE-5,
"""2018-06-19T18:49:00.000Z""",18fd17f7.709058,LEAVE Security Check,SEC-POS-2,
"""2018-06-19T18:43:00.000Z""",18fd17f7.709058,ENTER Security Check,SEC-POS-2,
"""2018-06-19T18:19:00.000Z""",18fd17f7.709058,ENTER Security Lane,SEC-LANE-5,
"""2018-12-29T17:33:00.000Z""",be3d6286.b15a9,LEAVE Security Check,SEC-POS-2,
"""2018-12-29T17:27:00.000Z""",be3d6286.b15a9,ENTER Security Check,SEC-POS-2,
"""2018-12-29T17:03:00.000Z""",be3d6286.b15a9,ENTER Security Lane,SEC-LANE-5,
"""2018-05-09T16:48:00.000Z""",d148b7b8.3a94a8,LEAVE Security Check,SEC-POS-2,
"""2018-05-09T16:42:00.000Z""",d148b7b8.3a94a8,ENTER Security Check,SEC-POS-2,
"""2018-05-09T16:18:00.000Z""",d148b7b8.3a94a8,ENTER Security Lane,SEC-LANE-5,
"""2018-09-13T08:32:00.000Z""",43fbc465.d015cc,LEAVE Security Check,SEC-POS-2,
"""2018-09-13T08:26:00.000Z""",43fbc465.d015cc,ENTER Security Check,SEC-POS-2,
"""2018-09-13T08:02:00.000Z""",43fbc465.d015cc,ENTER Security Lane,SEC-LANE-5,
"""2018-04-08T12:10:00.000Z""",e5649d34.63c81,LEAVE Security Check,SEC-POS-2,
"""2018-04-08T12:08:00.000Z""",e5649d34.63c81,ENTER Security Check,SEC-POS-2,
"""2018-04-08T12:00:00.000Z""",e5649d34.63c81,ENTER Security Lane,SEC-LANE-5,
"""2018-10-09T08:38:00.000Z""",8f0eef8d.85c12,LEAVE Security Check,SEC-POS-2,
"""2018-10-09T08:32:00.000Z""",8f0eef8d.85c12,ENTER Security Check,SEC-POS-2,
"""2018-10-09T08:08:00.000Z""",8f0eef8d.85c12,ENTER Security Lane,SEC-LANE-5,
"""2018-08-26T16:18:00.000Z""",6cc7151.a0cfdec,LEAVE Security Check,SEC-POS-2,
"""2018-08-26T16:12:00.000Z""",6cc7151.a0cfdec,ENTER Security Check,SEC-POS-2,
"""2018-08-26T15:48:00.000Z""",6cc7151.a0cfdec,ENTER Security Lane,SEC-LANE-5,
"""2018-10-25T16:22:00.000Z""",10200733.11a999,LEAVE Security Check,SEC-POS-2,
"""2018-10-25T16:16:00.000Z""",10200733.11a999,ENTER Security Check,SEC-POS-2,
"""2018-10-25T15:52:00.000Z""",10200733.11a999,ENTER Security Lane,SEC-LANE-5,
"""2018-03-24T10:18:00.000Z""",22e5c14.f38bb3e,LEAVE Security Check,SEC-POS-2,
"""2018-03-24T10:16:00.000Z""",22e5c14.f38bb3e,ENTER Security Check,SEC-POS-2,
"""2018-03-24T10:08:00.000Z""",22e5c14.f38bb3e,ENTER Security Lane,SEC-LANE-5,
"""2018-04-08T14:44:00.000Z""",ab17b69b.3f91c8,LEAVE Security Check,SEC-POS-2,
"""2018-04-08T14:40:00.000Z""",ab17b69b.3f91c8,ENTER Security Check,SEC-POS-2,
"""2018-04-08T14:24:00.000Z""",ab17b69b.3f91c8,ENTER Security Lane,SEC-LANE-5,
"""2018-06-13T15:05:00.000Z""",c2192e31.9c93b,LEAVE Security Check,SEC-POS-2,
"""2018-06-13T15:01:00.000Z""",c2192e31.9c93b,ENTER Security Check,SEC-POS-2,
"""2018-06-13T14:45:00.000Z""",c2192e31.9c93b,ENTER Security Lane,SEC-LANE-5,
"""2018-05-21T16:46:00.000Z""",78800d37.4c8cf4,LEAVE Security Check,SEC-POS-2,
"""2018-05-21T16:40:00.000Z""",78800d37.4c8cf4,ENTER Security Check,SEC-POS-2,
"""2018-05-21T16:16:00.000Z""",78800d37.4c8cf4,ENTER Security Lane,SEC-LANE-5,
"""2018-03-02T16:41:00.000Z""",7056799.3706788,LEAVE Security Check,SEC-POS-2,
"""2018-03-02T16:37:00.000Z""",7056799.3706788,ENTER Security Check,SEC-POS-2,
"""2018-03-02T16:21:00.000Z""",7056799.3706788,ENTER Security Lane,SEC-LANE-5,
"""2018-02-12T08:50:00.000Z""",d37e9776.3c2fb8,LEAVE Security Check,SEC-POS-2,
"""2018-02-12T08:44:00.000Z""",d37e9776.3c2fb8,ENTER Security Check,SEC-POS-2,
"""2018-02-12T08:20:00.000Z""",d37e9776.3c2fb8,ENTER Security Lane,SEC-LANE-5,
"""2018-04-10T18:12:00.000Z""",ce1061f3.c527a,LEAVE Security Check,SEC-POS-2,
"""2018-04-10T18:06:00.000Z""",ce1061f3.c527a,ENTER Security Check,SEC-POS-2,
"""2018-04-10T17:42:00.000Z""",ce1061f3.c527a,ENTER Security Lane,SEC-LANE-5,
"""2018-07-27T10:15:00.000Z""",61a6fccc.990334,LEAVE Security Check,SEC-POS-2,
"""2018-07-27T10:09:00.000Z""",61a6fccc.990334,ENTER Security Check,SEC-POS-2,
"""2018-07-27T09:45:00.000Z""",61a6fccc.990334,ENTER Security Lane,SEC-LANE-5,
"""2018-04-27T14:25:00.000Z""",fac6a534.1a3038,LEAVE Security Check,SEC-POS-2,
"""2018-04-27T14:21:00.000Z""",fac6a534.1a3038,ENTER Security Check,SEC-POS-2,
"""2018-04-27T14:05:00.000Z""",fac6a534.1a3038,ENTER Security Lane,SEC-LANE-5,
"""2018-10-13T18:48:00.000Z""",ca98f25c.ce223,LEAVE Security Check,SEC-POS-2,
"""2018-10-13T18:42:00.000Z""",ca98f25c.ce223,ENTER Security Check,SEC-POS-2,
"""2018-10-13T18:18:00.000Z""",ca98f25c.ce223,ENTER Security Lane,SEC-LANE-5,
"""2018-06-15T16:06:00.000Z""",1a54bb27.7dc785,LEAVE Security Check,SEC-POS-2,
"""2018-06-15T16:00:00.000Z""",1a54bb27.7dc785,ENTER Security Check,SEC-POS-2,
"""2018-06-15T15:36:00.000Z""",1a54bb27.7dc785,ENTER Security Lane,SEC-LANE-5,
"""2018-10-16T07:09:00.000Z""",98ff8c6d.9fd19,LEAVE Security Check,SEC-POS-2,
"""2018-10-16T07:03:00.000Z""",98ff8c6d.9fd19,ENTER Security Check,SEC-POS-2,
"""2018-10-16T06:39:00.000Z""",98ff8c6d.9fd19,ENTER Security Lane,SEC-LANE-5,
"""2018-10-16T05:11:00.000Z""",afa29e33.6c8ac,LEAVE Security Check,SEC-POS-2,
"""2018-10-16T05:07:00.000Z""",afa29e33.6c8ac,ENTER Security Check,SEC-POS-2,
"""2018-10-16T04:51:00.000Z""",afa29e33.6c8ac,ENTER Security Lane,SEC-LANE-5,
"""2018-08-09T07:19:00.000Z""",ccb0898f.e7b578,LEAVE Security Check,SEC-POS-2,
"""2018-08-09T07:13:00.000Z""",ccb0898f.e7b578,ENTER Security Check,SEC-POS-2,
"""2018-08-09T06:49:00.000Z""",ccb0898f.e7b578,ENTER Security Lane,SEC-LANE-5,
"""2018-05-04T16:49:00.000Z""",df61417f.fcb7b,LEAVE Security Check,SEC-POS-2,
"""2018-05-04T16:43:00.000Z""",df61417f.fcb7b,ENTER Security Check,SEC-POS-2,
"""2018-05-04T16:19:00.000Z""",df61417f.fcb7b,ENTER Security Lane,SEC-LANE-5,
"""2018-12-01T20:00:00.000Z""",cf95778a.4edda8,LEAVE Security Check,SEC-POS-2,
"""2018-12-01T19:54:00.000Z""",cf95778a.4edda8,ENTER Security Check,SEC-POS-2,
"""2018-12-01T19:30:00.000Z""",cf95778a.4edda8,ENTER Security Lane,SEC-LANE-5,
"""2018-05-29T12:14:00.000Z""",4aa906f9.58f398,LEAVE Security Check,SEC-POS-2,
"""2018-05-29T12:12:00.000Z""",4aa906f9.58f398,ENTER Security Check,SEC-POS-2,
"""2018-05-29T12:04:00.000Z""",4aa906f9.58f398,ENTER Security Lane,SEC-LANE-5,
"""2018-02-09T15:01:00.000Z""",c0dae1af.393bc,LEAVE Security Check,SEC-POS-2,
"""2018-02-09T14:57:00.000Z""",c0dae1af.393bc,ENTER Security Check,SEC-POS-2,
"""2018-02-09T14:41:00.000Z""",c0dae1af.393bc,ENTER Security Lane,SEC-LANE-5,
"""2018-08-24T09:59:00.000Z""",7298fbfe.fbe1d4,LEAVE Security Check,SEC-POS-2,
"""2018-08-24T09:57:00.000Z""",7298fbfe.fbe1d4,ENTER Security Check,SEC-POS-2,
"""2018-08-24T09:49:00.000Z""",7298fbfe.fbe1d4,ENTER Security Lane,SEC-LANE-5,
"""2018-12-29T19:58:00.000Z""",c86d47cf.5ca8c8,LEAVE Security Check,SEC-POS-2,
"""2018-12-29T19:52:00.000Z""",c86d47cf.5ca8c8,ENTER Security Check,SEC-POS-2,
"""2018-12-29T19:28:00.000Z""",c86d47cf.5ca8c8,ENTER Security Lane,SEC-LANE-5,
"""2018-10-07T09:35:00.000Z""",f8bf8740.42b308,LEAVE Security Check,SEC-POS-2,
"""2018-10-07T09:33:00.000Z""",f8bf8740.42b308,ENTER Security Check,SEC-POS-2,
"""2018-10-07T09:25:00.000Z""",f8bf8740.42b308,ENTER Security Lane,SEC-LANE-5,
"""2018-02-10T16:05:00.000Z""",27bee7f9.9a8008,LEAVE Security Check,SEC-POS-2,
"""2018-02-10T16:01:00.000Z""",27bee7f9.9a8008,ENTER Security Check,SEC-POS-2,
"""2018-02-10T15:45:00.000Z""",27bee7f9.9a8008,ENTER Security Lane,SEC-LANE-5,
"""2018-02-12T16:37:00.000Z""",b2c00b04.b59528,LEAVE Security Check,SEC-POS-2,
"""2018-02-12T16:33:00.000Z""",b2c00b04.b59528,ENTER Security Check,SEC-POS-2,
"""2018-02-12T16:17:00.000Z""",b2c00b04.b59528,ENTER Security Lane,SEC-LANE-5,
"""2018-06-15T06:33:00.000Z""",ca614f87.7321e,LEAVE Security Check,SEC-POS-2,
"""2018-06-15T06:29:00.000Z""",ca614f87.7321e,ENTER Security Check,SEC-POS-2,
"""2018-06-15T06:13:00.000Z""",ca614f87.7321e,ENTER Security Lane,SEC-LANE-5,
"""2018-02-20T08:34:00.000Z""",f9466d46.a86b6,LEAVE Security Check,SEC-POS-2,
"""2018-02-20T08:28:00.000Z""",f9466d46.a86b6,ENTER Security Check,SEC-POS-2,
"""2018-02-20T08:04:00.000Z""",f9466d46.a86b6,ENTER Security Lane,SEC-LANE-5,
"""2018-07-06T17:22:00.000Z""",53b5b5c5.3a410c,LEAVE Security Check,SEC-POS-2,
"""2018-07-06T17:16:00.000Z""",53b5b5c5.3a410c,ENTER Security Check,SEC-POS-2,
"""2018-07-06T16:52:00.000Z""",53b5b5c5.3a410c,ENTER Security Lane,SEC-LANE-5,
"""2018-07-23T10:46:00.000Z""",675247a2.8c3568,LEAVE Security Check,SEC-POS-2,
"""2018-07-23T10:44:00.000Z""",675247a2.8c3568,ENTER Security Check,SEC-POS-2,
"""2018-07-23T10:36:00.000Z""",675247a2.8c3568,ENTER Security Lane,SEC-LANE-5,
"""2018-07-19T09:25:00.000Z""",20b4bb3b.94d864,LEAVE Security Check,SEC-POS-2,
"""2018-07-19T09:23:00.000Z""",20b4bb3b.94d864,ENTER Security Check,SEC-POS-2,
"""2018-07-19T09:15:00.000Z""",20b4bb3b.94d864,ENTER Security Lane,SEC-LANE-5,
"""2018-05-07T16:15:00.000Z""",8fac6723.1134b8,LEAVE Security Check,SEC-POS-2,
"""2018-05-07T16:09:00.000Z""",8fac6723.1134b8,ENTER Security Check,SEC-POS-2,
"""2018-05-07T15:45:00.000Z""",8fac6723.1134b8,ENTER Security Lane,SEC-LANE-5,
"""2018-12-04T09:11:00.000Z""",ed193128.b9c81,LEAVE Security Check,SEC-POS-2,
"""2018-12-04T09:05:00.000Z""",ed193128.b9c81,ENTER Security Check,SEC-POS-2,
"""2018-12-04T08:41:00.000Z""",ed193128.b9c81,ENTER Security Lane,SEC-LANE-5,
"""2018-03-27T17:11:00.000Z""",63bfabfe.6946d4,LEAVE Security Check,SEC-POS-2,
"""2018-03-27T17:05:00.000Z""",63bfabfe.6946d4,ENTER Security Check,SEC-POS-2,
"""2018-03-27T16:41:00.000Z""",63bfabfe.6946d4,ENTER Security Lane,SEC-LANE-5,
"""2018-05-06T11:05:00.000Z""",91b52239.09bbd,LEAVE Security Check,SEC-POS-2,
"""2018-05-06T11:03:00.000Z""",91b52239.09bbd,ENTER Security Check,SEC-POS-2,
"""2018-05-06T10:55:00.000Z""",91b52239.09bbd,ENTER Security Lane,SEC-LANE-5,
"""2018-10-02T17:19:00.000Z""",1bd05fe3.314c,LEAVE Security Check,SEC-POS-2,
"""2018-10-02T17:13:00.000Z""",1bd05fe3.314c,ENTER Security Check,SEC-POS-2,
"""2018-10-02T16:49:00.000Z""",1bd05fe3.314c,ENTER Security Lane,SEC-LANE-5,
"""2018-08-07T16:53:00.000Z""",e2313cd6.ad0ab,LEAVE Security Check,SEC-POS-2,
"""2018-08-07T16:47:00.000Z""",e2313cd6.ad0ab,ENTER Security Check,SEC-POS-2,
"""2018-08-07T16:23:00.000Z""",e2313cd6.ad0ab,ENTER Security Lane,SEC-LANE-5,
"""2018-07-12T09:26:00.000Z""",9b5202af.361d4,LEAVE Security Check,SEC-POS-2,
"""2018-07-12T09:20:00.000Z""",9b5202af.361d4,ENTER Security Check,SEC-POS-2,
"""2018-07-12T08:56:00.000Z""",9b5202af.361d4,ENTER Security Lane,SEC-LANE-5,
"""2018-04-04T04:12:00.000Z""",7a0e9784.36c228,LEAVE Security Check,SEC-POS-2,
"""2018-04-04T04:08:00.000Z""",7a0e9784.36c228,ENTER Security Check,SEC-POS-2,
"""2018-04-04T03:52:00.000Z""",7a0e9784.36c228,ENTER Security Lane,SEC-LANE-5,
"""2018-07-29T10:18:00.000Z""",b2cc61ba.82dee,LEAVE Security Check,SEC-POS-2,
"""2018-07-29T10:16:00.000Z""",b2cc61ba.82dee,ENTER Security Check,SEC-POS-2,
"""2018-07-29T10:08:00.000Z""",b2cc61ba.82dee,ENTER Security Lane,SEC-LANE-5,
"""2018-08-06T09:56:00.000Z""",38a1f600.64ba2a,LEAVE Security Check,SEC-POS-2,
"""2018-08-06T09:54:00.000Z""",38a1f600.64ba2a,ENTER Security Check,SEC-POS-2,
"""2018-08-06T09:46:00.000Z""",38a1f600.64ba2a,ENTER Security Lane,SEC-LANE-5,
"""2018-06-17T03:48:00.000Z""",21bae6e7.14046a,LEAVE Security Check,SEC-POS-2,
"""2018-06-17T03:44:00.000Z""",21bae6e7.14046a,ENTER Security Check,SEC-POS-2,
"""2018-06-17T03:28:00.000Z""",21bae6e7.14046a,ENTER Security Lane,SEC-LANE-5,
"""2018-11-03T07:13:00.000Z""",46527ac2.737294,LEAVE Security Check,SEC-POS-2,
"""2018-11-03T07:09:00.000Z""",46527ac2.737294,ENTER Security Check,SEC-POS-2,
"""2018-11-03T06:53:00.000Z""",46527ac2.737294,ENTER Security Lane,SEC-LANE-5,
"""2018-02-21T16:20:00.000Z""",1d61f7ef.1f7078,LEAVE Security Check,SEC-POS-2,
"""2018-02-21T16:16:00.000Z""",1d61f7ef.1f7078,ENTER Security Check,SEC-POS-2,
"""2018-02-21T16:00:00.000Z""",1d61f7ef.1f7078,ENTER Security Lane,SEC-LANE-5,
"""2018-10-18T09:26:00.000Z""",e68b15db.7e9f18,LEAVE Security Check,SEC-POS-2,
"""2018-10-18T09:20:00.000Z""",e68b15db.7e9f18,ENTER Security Check,SEC-POS-2,
"""2018-10-18T08:56:00.000Z""",e68b15db.7e9f18,ENTER Security Lane,SEC-LANE-5,
"""2018-06-14T11:53:00.000Z""",cae0420a.7a7aa,LEAVE Security Check,SEC-POS-2,
"""2018-06-14T11:51:00.000Z""",cae0420a.7a7aa,ENTER Security Check,SEC-POS-2,
"""2018-06-14T11:43:00.000Z""",cae0420a.7a7aa,ENTER Security Lane,SEC-LANE-5,
"""2018-09-08T17:14:00.000Z""",8893abde.a41cd8,LEAVE Security Check,SEC-POS-2,
"""2018-09-08T17:08:00.000Z""",8893abde.a41cd8,ENTER Security Check,SEC-POS-2,
"""2018-09-08T16:44:00.000Z""",8893abde.a41cd8,ENTER Security Lane,SEC-LANE-5,
"""2018-03-06T14:55:00.000Z""",a2bb5858.86ce68,LEAVE Security Check,SEC-POS-2,
"""2018-03-06T14:51:00.000Z""",a2bb5858.86ce68,ENTER Security Check,SEC-POS-2,
"""2018-03-06T14:35:00.000Z""",a2bb5858.86ce68,ENTER Security Lane,SEC-LANE-5,
"""2018-03-21T14:12:00.000Z""",c677574a.21e348,LEAVE Security Check,SEC-POS-2,
"""2018-03-21T14:08:00.000Z""",c677574a.21e348,ENTER Security Check,SEC-POS-2,
"""2018-03-21T13:52:00.000Z""",c677574a.21e348,ENTER Security Lane,SEC-LANE-5,
"""2018-07-07T13:43:00.000Z""",3be1daa7.9cd5a6,LEAVE Security Check,SEC-POS-2,
"""2018-07-07T13:39:00.000Z""",3be1daa7.9cd5a6,ENTER Security Check,SEC-POS-2,
"""2018-07-07T13:23:00.000Z""",3be1daa7.9cd5a6,ENTER Security Lane,SEC-LANE-5,
"""2018-10-08T13:41:00.000Z""",3f989366.5d676c,LEAVE Security Check,SEC-POS-2,
"""2018-10-08T13:37:00.000Z""",3f989366.5d676c,ENTER Security Check,SEC-POS-2,
"""2018-10-08T13:21:00.000Z""",3f989366.5d676c,ENTER Security Lane,SEC-LANE-5,
"""2018-09-24T11:02:00.000Z""",74cc7426.803c2c,LEAVE Security Check,SEC-POS-2,
