_time,msg_id,STEP,LOCATION,GATE
"""2018-09-17T09:03:00.000Z""",8a3f1194.aeab9,ENTER Departure Hall,Terminal 1,
"""2018-09-17T09:14:00.000Z""",8a3f1194.aeab9,LEAVE Check-In Area,Terminal 1,
"""2018-09-17T09:08:00.000Z""",8a3f1194.aeab9,ENTER Check-In Area,Terminal 1,
"""2018-07-29T12:14:00.000Z""",6ba368de.7255a8,ENTER Departure Hall,Terminal 1,
"""2018-06-11T05:22:00.000Z""",ed9cd787.1005d8,ENTER Departure Hall,Terminal 1,
"""2018-10-06T07:13:00.000Z""",1b89acab.327a53,ENTER Departure Hall,Terminal 1,
"""2018-03-14T09:58:00.000Z""",8c47e4.2c7cb82,ENTER Departure Hall,Terminal 1,
"""2018-03-14T10:31:00.000Z""",8c47e4.2c7cb82,LEAVE Check-In Area,Terminal 1,
"""2018-03-14T10:13:00.000Z""",8c47e4.2c7cb82,ENTER Check-In Area,Terminal 1,
"""2018-09-28T17:40:00.000Z""",f55381ec.3dccf,ENTER Departure Hall,Terminal 1,
"""2018-05-14T03:40:00.000Z""",18a4d5cd.c9ceba,ENTER Departure Hall,Terminal 1,
"""2018-06-19T17:31:00.000Z""",18fd17f7.709058,ENTER Departure Hall,Terminal 1,
"""2018-06-19T18:04:00.000Z""",18fd17f7.709058,LEAVE Check-In Area,Terminal 1,
"""2018-06-19T17:46:00.000Z""",18fd17f7.709058,ENTER Check-In Area,Terminal 1,
"""2018-12-29T16:24:00.000Z""",be3d6286.b15a9,ENTER Departure Hall,Terminal 1,
"""2018-12-29T16:48:00.000Z""",be3d6286.b15a9,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-12-29T16:39:00.000Z""",be3d6286.b15a9,ENTER Baggage-Drop Area,Terminal 1,
"""2018-05-09T16:03:00.000Z""",d148b7b8.3a94a8,ENTER Departure Hall,Terminal 1,
"""2018-09-13T07:47:00.000Z""",43fbc465.d015cc,ENTER Departure Hall,Terminal 1,
"""2018-04-03T07:26:00.000Z""",8f6584d9.2fb168,ENTER Departure Hall,Terminal 1,
"""2018-04-03T07:56:00.000Z""",8f6584d9.2fb168,LEAVING Departure Hall,Terminal 1,
"""2018-04-08T11:47:00.000Z""",e5649d34.63c81,ENTER Departure Hall,Terminal 1,
"""2018-04-08T11:55:00.000Z""",e5649d34.63c81,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-04-08T11:52:00.000Z""",e5649d34.63c81,ENTER Baggage-Drop Area,Terminal 1,
"""2018-10-09T07:29:00.000Z""",8f0eef8d.85c12,ENTER Departure Hall,Terminal 1,
"""2018-10-09T07:53:00.000Z""",8f0eef8d.85c12,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-10-09T07:44:00.000Z""",8f0eef8d.85c12,ENTER Baggage-Drop Area,Terminal 1,
"""2018-08-26T15:33:00.000Z""",6cc7151.a0cfdec,ENTER Departure Hall,Terminal 1,
"""2018-10-25T15:13:00.000Z""",10200733.11a999,ENTER Departure Hall,Terminal 1,
"""2018-10-25T15:37:00.000Z""",10200733.11a999,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-10-25T15:28:00.000Z""",10200733.11a999,ENTER Baggage-Drop Area,Terminal 1,
"""2018-03-24T10:03:00.000Z""",22e5c14.f38bb3e,ENTER Departure Hall,Terminal 1,
"""2018-04-08T14:14:00.000Z""",ab17b69b.3f91c8,ENTER Departure Hall,Terminal 1,
"""2018-06-13T14:13:00.000Z""",c2192e31.9c93b,ENTER Departure Hall,Terminal 1,
"""2018-06-13T14:35:00.000Z""",c2192e31.9c93b,LEAVE Check-In Area,Terminal 1,
"""2018-06-13T14:23:00.000Z""",c2192e31.9c93b,ENTER Check-In Area,Terminal 1,
"""2018-05-21T15:28:00.000Z""",78800d37.4c8cf4,ENTER Departure Hall,Terminal 1,
"""2018-05-21T16:01:00.000Z""",78800d37.4c8cf4,LEAVE Check-In Area,Terminal 1,
"""2018-05-21T15:43:00.000Z""",78800d37.4c8cf4,ENTER Check-In Area,Terminal 1,
"""2018-03-02T15:55:00.000Z""",7056799.3706788,ENTER Departure Hall,Terminal 1,
"""2018-03-02T16:11:00.000Z""",7056799.3706788,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-03-02T16:05:00.000Z""",7056799.3706788,ENTER Baggage-Drop Area,Terminal 1,
"""2018-02-12T08:05:00.000Z""",d37e9776.3c2fb8,ENTER Departure Hall,Terminal 1,
"""2018-04-10T17:27:00.000Z""",ce1061f3.c527a,ENTER Departure Hall,Terminal 1,
"""2018-07-27T08:57:00.000Z""",61a6fccc.990334,ENTER Departure Hall,Terminal 1,
"""2018-07-27T09:30:00.000Z""",61a6fccc.990334,LEAVE Check-In Area,Terminal 1,
"""2018-07-27T09:12:00.000Z""",61a6fccc.990334,ENTER Check-In Area,Terminal 1,
"""2018-12-02T05:54:00.000Z""",324a720.af1f48e,ENTER Departure Hall,Terminal 1,
"""2018-12-02T06:14:00.000Z""",324a720.af1f48e,LEAVING Departure Hall,Terminal 1,
"""2018-04-27T13:55:00.000Z""",fac6a534.1a3038,ENTER Departure Hall,Terminal 1,
"""2018-10-13T17:39:00.000Z""",ca98f25c.ce223,ENTER Departure Hall,Terminal 1,
"""2018-10-13T18:03:00.000Z""",ca98f25c.ce223,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-10-13T17:54:00.000Z""",ca98f25c.ce223,ENTER Baggage-Drop Area,Terminal 1,
"""2018-06-15T15:21:00.000Z""",1a54bb27.7dc785,ENTER Departure Hall,Terminal 1,
"""2018-10-16T06:24:00.000Z""",98ff8c6d.9fd19,ENTER Departure Hall,Terminal 1,
"""2018-10-16T04:19:00.000Z""",afa29e33.6c8ac,ENTER Departure Hall,Terminal 1,
"""2018-10-16T04:41:00.000Z""",afa29e33.6c8ac,LEAVE Check-In Area,Terminal 1,
"""2018-10-16T04:29:00.000Z""",afa29e33.6c8ac,ENTER Check-In Area,Terminal 1,
"""2018-08-09T06:34:00.000Z""",ccb0898f.e7b578,ENTER Departure Hall,Terminal 1,
"""2018-05-04T15:31:00.000Z""",df61417f.fcb7b,ENTER Departure Hall,Terminal 1,
"""2018-05-04T16:04:00.000Z""",df61417f.fcb7b,LEAVE Check-In Area,Terminal 1,
"""2018-05-04T15:46:00.000Z""",df61417f.fcb7b,ENTER Check-In Area,Terminal 1,
"""2018-12-01T18:42:00.000Z""",cf95778a.4edda8,ENTER Departure Hall,Terminal 1,
"""2018-12-01T19:15:00.000Z""",cf95778a.4edda8,LEAVE Check-In Area,Terminal 1,
"""2018-12-01T18:57:00.000Z""",cf95778a.4edda8,ENTER Check-In Area,Terminal 1,
"""2018-10-04T10:38:00.000Z""",e30791e6.5601d,ENTER Departure Hall,Terminal 1,
"""2018-10-04T10:48:00.000Z""",e30791e6.5601d,LEAVING Departure Hall,Terminal 1,
"""2018-06-11T14:19:00.000Z""",b7f21337.bce5b,ENTER Departure Hall,Terminal 1,
"""2018-06-11T14:39:00.000Z""",b7f21337.bce5b,LEAVING Departure Hall,Terminal 1,
"""2018-05-29T11:51:00.000Z""",4aa906f9.58f398,ENTER Departure Hall,Terminal 1,
"""2018-05-29T11:59:00.000Z""",4aa906f9.58f398,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-05-29T11:56:00.000Z""",4aa906f9.58f398,ENTER Baggage-Drop Area,Terminal 1,
"""2018-02-09T14:15:00.000Z""",c0dae1af.393bc,ENTER Departure Hall,Terminal 1,
"""2018-02-09T14:31:00.000Z""",c0dae1af.393bc,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-02-09T14:25:00.000Z""",c0dae1af.393bc,ENTER Baggage-Drop Area,Terminal 1,
"""2018-08-24T09:44:00.000Z""",7298fbfe.fbe1d4,ENTER Departure Hall,Terminal 1,
"""2018-12-29T18:40:00.000Z""",c86d47cf.5ca8c8,ENTER Departure Hall,Terminal 1,
"""2018-12-29T19:13:00.000Z""",c86d47cf.5ca8c8,LEAVE Check-In Area,Terminal 1,
"""2018-12-29T18:55:00.000Z""",c86d47cf.5ca8c8,ENTER Check-In Area,Terminal 1,
"""2018-10-07T09:09:00.000Z""",f8bf8740.42b308,ENTER Departure Hall,Terminal 1,
"""2018-10-07T09:20:00.000Z""",f8bf8740.42b308,LEAVE Check-In Area,Terminal 1,
"""2018-10-07T09:14:00.000Z""",f8bf8740.42b308,ENTER Check-In Area,Terminal 1,
"""2018-02-10T15:13:00.000Z""",27bee7f9.9a8008,ENTER Departure Hall,Terminal 1,
"""2018-02-10T15:35:00.000Z""",27bee7f9.9a8008,LEAVE Check-In Area,Terminal 1,
"""2018-02-10T15:23:00.000Z""",27bee7f9.9a8008,ENTER Check-In Area,Terminal 1,
"""2018-02-12T15:45:00.000Z""",b2c00b04.b59528,ENTER Departure Hall,Terminal 1,
"""2018-02-12T16:07:00.000Z""",b2c00b04.b59528,LEAVE Check-In Area,Terminal 1,
"""2018-02-12T15:55:00.000Z""",b2c00b04.b59528,ENTER Check-In Area,Terminal 1,
"""2018-06-15T05:47:00.000Z""",ca614f87.7321e,ENTER Departure Hall,Terminal 1,
"""2018-06-15T06:03:00.000Z""",ca614f87.7321e,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-06-15T05:57:00.000Z""",ca614f87.7321e,ENTER Baggage-Drop Area,Terminal 1,
"""2018-02-20T07:49:00.000Z""",f9466d46.a86b6,ENTER Departure Hall,Terminal 1,
"""2018-07-06T16:04:00.000Z""",53b5b5c5.3a410c,ENTER Departure Hall,Terminal 1,
"""2018-07-06T16:37:00.000Z""",53b5b5c5.3a410c,LEAVE Check-In Area,Terminal 1,
"""2018-07-06T16:19:00.000Z""",53b5b5c5.3a410c,ENTER Check-In Area,Terminal 1,
"""2018-09-04T06:44:00.000Z""",a840d8ac.feb1f8,ENTER Departure Hall,Terminal 1,
"""2018-09-04T07:14:00.000Z""",a840d8ac.feb1f8,LEAVING Departure Hall,Terminal 1,
"""2018-07-23T10:23:00.000Z""",675247a2.8c3568,ENTER Departure Hall,Terminal 1,
"""2018-07-23T10:31:00.000Z""",675247a2.8c3568,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-07-23T10:28:00.000Z""",675247a2.8c3568,ENTER Baggage-Drop Area,Terminal 1,
"""2018-07-19T09:10:00.000Z""",20b4bb3b.94d864,ENTER Departure Hall,Terminal 1,
"""2018-03-25T17:00:00.000Z""",9df6242e.0bac48,ENTER Departure Hall,Terminal 1,
"""2018-03-25T17:30:00.000Z""",9df6242e.0bac48,LEAVING Departure Hall,Terminal 1,
"""2018-08-11T05:03:00.000Z""",afe4bd61.adf6f,ENTER Departure Hall,Terminal 1,
"""2018-08-11T05:23:00.000Z""",afe4bd61.adf6f,LEAVING Departure Hall,Terminal 1,
"""2018-05-07T15:06:00.000Z""",8fac6723.1134b8,ENTER Departure Hall,Terminal 1,
"""2018-05-07T15:30:00.000Z""",8fac6723.1134b8,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-05-07T15:21:00.000Z""",8fac6723.1134b8,ENTER Baggage-Drop Area,Terminal 1,
"""2018-12-04T08:26:00.000Z""",ed193128.b9c81,ENTER Departure Hall,Terminal 1,
"""2018-03-27T16:26:00.000Z""",63bfabfe.6946d4,ENTER Departure Hall,Terminal 1,
"""2018-05-06T10:50:00.000Z""",91b52239.09bbd,ENTER Departure Hall,Terminal 1,
"""2018-10-02T16:34:00.000Z""",1bd05fe3.314c,ENTER Departure Hall,Terminal 1,
"""2018-08-07T15:44:00.000Z""",e2313cd6.ad0ab,ENTER Departure Hall,Terminal 1,
"""2018-08-07T16:08:00.000Z""",e2313cd6.ad0ab,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-08-07T15:59:00.000Z""",e2313cd6.ad0ab,ENTER Baggage-Drop Area,Terminal 1,
"""2018-07-12T08:41:00.000Z""",9b5202af.361d4,ENTER Departure Hall,Terminal 1,
"""2018-04-04T03:20:00.000Z""",7a0e9784.36c228,ENTER Departure Hall,Terminal 1,
"""2018-04-04T03:42:00.000Z""",7a0e9784.36c228,LEAVE Check-In Area,Terminal 1,
"""2018-04-04T03:30:00.000Z""",7a0e9784.36c228,ENTER Check-In Area,Terminal 1,
"""2018-07-29T10:03:00.000Z""",b2cc61ba.82dee,ENTER Departure Hall,Terminal 1,
"""2018-08-06T09:30:00.000Z""",38a1f600.64ba2a,ENTER Departure Hall,Terminal 1,
"""2018-08-06T09:41:00.000Z""",38a1f600.64ba2a,LEAVE Check-In Area,Terminal 1,
"""2018-08-06T09:35:00.000Z""",38a1f600.64ba2a,ENTER Check-In Area,Terminal 1,
"""2018-06-17T03:02:00.000Z""",21bae6e7.14046a,ENTER Departure Hall,Terminal 1,
"""2018-06-17T03:18:00.000Z""",21bae6e7.14046a,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-06-17T03:12:00.000Z""",21bae6e7.14046a,ENTER Baggage-Drop Area,Terminal 1,
"""2018-11-03T06:43:00.000Z""",46527ac2.737294,ENTER Departure Hall,Terminal 1,
"""2018-02-21T15:28:00.000Z""",1d61f7ef.1f7078,ENTER Departure Hall,Terminal 1,
"""2018-02-21T15:50:00.000Z""",1d61f7ef.1f7078,LEAVE Check-In Area,Terminal 1,
"""2018-02-21T15:38:00.000Z""",1d61f7ef.1f7078,ENTER Check-In Area,Terminal 1,
"""2018-10-18T08:41:00.000Z""",e68b15db.7e9f18,ENTER Departure Hall,Terminal 1,
"""2018-06-14T11:27:00.000Z""",cae0420a.7a7aa,ENTER Departure Hall,Terminal 1,
"""2018-06-14T11:38:00.000Z""",cae0420a.7a7aa,LEAVE Check-In Area,Terminal 1,
"""2018-06-14T11:32:00.000Z""",cae0420a.7a7aa,ENTER Check-In Area,Terminal 1,
"""2018-09-08T15:56:00.000Z""",8893abde.a41cd8,ENTER Departure Hall,Terminal 1,
"""2018-09-08T16:29:00.000Z""",8893abde.a41cd8,LEAVE Check-In Area,Terminal 1,
"""2018-09-08T16:11:00.000Z""",8893abde.a41cd8,ENTER Check-In Area,Terminal 1,
"""2018-03-06T14:03:00.000Z""",a2bb5858.86ce68,ENTER Departure Hall,Terminal 1,
"""2018-03-06T14:25:00.000Z""",a2bb5858.86ce68,LEAVE Check-In Area,Terminal 1,
"""2018-03-06T14:13:00.000Z""",a2bb5858.86ce68,ENTER Check-In Area,Terminal 1,
"""2018-03-21T13:42:00.000Z""",c677574a.21e348,ENTER Departure Hall,Terminal 1,
"""2018-07-07T13:13:00.000Z""",3be1daa7.9cd5a6,ENTER Departure Hall,Terminal 1,
"""2018-10-08T12:49:00.000Z""",3f989366.5d676c,ENTER Departure Hall,Terminal 1,
"""2018-10-08T13:11:00.000Z""",3f989366.5d676c,LEAVE Check-In Area,Terminal 1,
"""2018-10-08T12:59:00.000Z""",3f989366.5d676c,ENTER Check-In Area,Terminal 1,
"""2018-09-24T10:39:00.000Z""",74cc7426.803c2c,ENTER Departure Hall,Terminal 1,
"""2018-09-24T10:47:00.000Z""",74cc7426.803c2c,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-09-24T10:44:00.000Z""",74cc7426.803c2c,ENTER Baggage-Drop Area,Terminal 1,
"""2018-04-12T04:04:00.000Z""",8645409f.02466,ENTER Departure Hall,Terminal 1,
"""2018-04-12T04:26:00.000Z""",8645409f.02466,LEAVE Check-In Area,Terminal 1,
"""2018-04-12T04:14:00.000Z""",8645409f.02466,ENTER Check-In Area,Terminal 1,
"""2018-06-22T12:47:00.000Z""",a75c2af4.a9dbd8,ENTER Departure Hall,Terminal 1,
"""2018-06-22T13:03:00.000Z""",a75c2af4.a9dbd8,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-06-22T12:57:00.000Z""",a75c2af4.a9dbd8,ENTER Baggage-Drop Area,Terminal 1,
"""2018-08-23T12:52:00.000Z""",4b12845c.6285bc,ENTER Departure Hall,Terminal 1,
"""2018-08-23T13:08:00.000Z""",4b12845c.6285bc,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-08-23T13:02:00.000Z""",4b12845c.6285bc,ENTER Baggage-Drop Area,Terminal 1,
"""2018-05-01T05:31:00.000Z""",3d5965c7.226bba,ENTER Departure Hall,Terminal 1,
"""2018-05-01T05:47:00.000Z""",3d5965c7.226bba,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-05-01T05:41:00.000Z""",3d5965c7.226bba,ENTER Baggage-Drop Area,Terminal 1,
"""2018-11-13T07:38:00.000Z""",6722fd1c.556bb4,ENTER Departure Hall,Terminal 1,
"""2018-11-13T08:02:00.000Z""",6722fd1c.556bb4,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-11-13T07:53:00.000Z""",6722fd1c.556bb4,ENTER Baggage-Drop Area,Terminal 1,
"""2018-05-11T14:03:00.000Z""",f0d9da90.56bdb8,ENTER Departure Hall,Terminal 1,
"""2018-07-14T14:17:00.000Z""",70ca39f5.9962b8,ENTER Departure Hall,Terminal 1,
"""2018-03-15T12:28:00.000Z""",80b212e.d70f5f,ENTER Departure Hall,Terminal 1,
"""2018-07-21T06:51:00.000Z""",dff94d89.05ac1,ENTER Departure Hall,Terminal 1,
"""2018-08-04T03:20:00.000Z""",d6061413.efe6e8,ENTER Departure Hall,Terminal 1,
"""2018-10-29T14:42:00.000Z""",5dd140f9.d7c87,ENTER Departure Hall,Terminal 1,
"""2018-05-17T03:01:00.000Z""",45aa2bad.4bf5f4,ENTER Departure Hall,Terminal 1,
"""2018-11-07T16:35:00.000Z""",946b3fae.34ee9,ENTER Departure Hall,Terminal 1,
"""2018-11-07T17:08:00.000Z""",946b3fae.34ee9,LEAVE Check-In Area,Terminal 1,
"""2018-11-07T16:50:00.000Z""",946b3fae.34ee9,ENTER Check-In Area,Terminal 1,
"""2018-02-26T13:36:00.000Z""",e7004f4b.f7967,ENTER Departure Hall,Terminal 1,
"""2018-02-26T13:58:00.000Z""",e7004f4b.f7967,LEAVE Check-In Area,Terminal 1,
"""2018-02-26T13:46:00.000Z""",e7004f4b.f7967,ENTER Check-In Area,Terminal 1,
"""2018-03-14T16:15:00.000Z""",6cd2d7a7.8d5328,ENTER Departure Hall,Terminal 1,
"""2018-02-28T05:55:00.000Z""",1dcd3ace.fc0925,ENTER Departure Hall,Terminal 1,
"""2018-05-17T03:06:00.000Z""",1c9eb928.c63ea7,ENTER Departure Hall,Terminal 1,
"""2018-12-02T10:45:00.000Z""",94e05d5c.1aee5,ENTER Departure Hall,Terminal 1,
"""2018-12-02T10:53:00.000Z""",94e05d5c.1aee5,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-12-02T10:50:00.000Z""",94e05d5c.1aee5,ENTER Baggage-Drop Area,Terminal 1,
"""2018-07-05T13:58:00.000Z""",b589387f.6b6538,ENTER Departure Hall,Terminal 1,
"""2018-02-27T14:42:00.000Z""",74131f32.d2f89,ENTER Departure Hall,Terminal 1,
"""2018-02-04T11:03:00.000Z""",be5cf29.9e9661,ENTER Departure Hall,Terminal 1,
"""2018-02-04T11:11:00.000Z""",be5cf29.9e9661,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-02-04T11:08:00.000Z""",be5cf29.9e9661,ENTER Baggage-Drop Area,Terminal 1,
"""2018-11-12T11:05:00.000Z""",6d5c3596.456ebc,ENTER Departure Hall,Terminal 1,
"""2018-11-12T11:13:00.000Z""",6d5c3596.456ebc,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-11-12T11:10:00.000Z""",6d5c3596.456ebc,ENTER Baggage-Drop Area,Terminal 1,
"""2018-11-26T13:57:00.000Z""",969b755b.884c48,ENTER Departure Hall,Terminal 1,
"""2018-12-28T12:04:00.000Z""",953280eb.26f1f,ENTER Departure Hall,Terminal 1,
"""2018-08-29T04:52:00.000Z""",3f6d6789.2adac8,ENTER Departure Hall,Terminal 1,
"""2018-08-29T05:14:00.000Z""",3f6d6789.2adac8,LEAVE Check-In Area,Terminal 1,
"""2018-08-29T05:02:00.000Z""",3f6d6789.2adac8,ENTER Check-In Area,Terminal 1,
"""2018-03-02T04:29:00.000Z""",77ba715f.f4b43,ENTER Departure Hall,Terminal 1,
"""2018-03-02T04:45:00.000Z""",77ba715f.f4b43,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-03-02T04:39:00.000Z""",77ba715f.f4b43,ENTER Baggage-Drop Area,Terminal 1,
"""2018-09-03T03:53:00.000Z""",f4fc87.5df99378,ENTER Departure Hall,Terminal 1,
"""2018-09-06T09:13:00.000Z""",55e3cc6c.23a444,ENTER Departure Hall,Terminal 1,
"""2018-10-15T09:51:00.000Z""",deb1dc9f.2b573,ENTER Departure Hall,Terminal 1,
"""2018-10-15T10:02:00.000Z""",deb1dc9f.2b573,LEAVE Check-In Area,Terminal 1,
"""2018-10-15T09:56:00.000Z""",deb1dc9f.2b573,ENTER Check-In Area,Terminal 1,
"""2018-06-17T03:57:00.000Z""",b61de62b.2c1eb8,ENTER Departure Hall,Terminal 1,
"""2018-06-17T04:19:00.000Z""",b61de62b.2c1eb8,LEAVE Check-In Area,Terminal 1,
"""2018-06-17T04:07:00.000Z""",b61de62b.2c1eb8,ENTER Check-In Area,Terminal 1,
"""2018-10-28T18:29:00.000Z""",21ca9291.96603e,ENTER Departure Hall,Terminal 1,
"""2018-12-03T15:04:00.000Z""",43a8a5db.5e2a5c,ENTER Departure Hall,Terminal 1,
"""2018-11-21T18:21:00.000Z""",87deff3a.1c1e5,ENTER Departure Hall,Terminal 1,
"""2018-11-21T18:45:00.000Z""",87deff3a.1c1e5,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-11-21T18:36:00.000Z""",87deff3a.1c1e5,ENTER Baggage-Drop Area,Terminal 1,
"""2018-12-05T08:30:00.000Z""",4e9847d3.798ef8,ENTER Departure Hall,Terminal 1,
"""2018-12-05T08:54:00.000Z""",4e9847d3.798ef8,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-12-05T08:45:00.000Z""",4e9847d3.798ef8,ENTER Baggage-Drop Area,Terminal 1,
"""2018-10-19T03:00:00.000Z""",677068be.753838,ENTER Departure Hall,Terminal 1,
"""2018-09-19T06:34:00.000Z""",88117ce2.9e3f8,ENTER Departure Hall,Terminal 1,
