_time,pax_id,STEP,LOCATION,GATE
"""2018-04-17T11:19:00.000Z""",76512f5.069edd,ENTER Bording Gate Area,Terminal 1,B10
"""2018-04-17T10:15:00.000Z""",76512f5.069edd,ENTER Check-In Area,Terminal 1,
"""2018-04-17T10:34:00.000Z""",76512f5.069edd,ENTER Security Check,SEC-POS-2,
"""2018-04-17T10:41:00.000Z""",76512f5.069edd,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-04-17T11:09:00.000Z""",76512f5.069edd,ENTER Duty Free Area,Terminal 1,
"""2018-04-17T11:39:00.000Z""",76512f5.069edd,BOARD Aircraft,Terminal 1,B10
"""2018-04-17T10:26:00.000Z""",76512f5.069edd,ENTER Security Lane,SEC-LANE-5,
"""2018-04-29T09:07:00.000Z""",ded39e2a.cba8d,ENTER Departure Hall,Terminal 1,
"""2018-04-29T09:18:00.000Z""",ded39e2a.cba8d,LEAVE Check-In Area,Terminal 1,
"""2018-04-29T09:33:00.000Z""",ded39e2a.cba8d,LEAVE Security Check,SEC-POS-2,
"""2018-04-29T09:35:00.000Z""",ded39e2a.cba8d,Passport Control,Border-Control Booth 1,
"""2018-04-29T09:41:00.000Z""",ded39e2a.cba8d,ENTER Bording Gate Area,Terminal 1,B17
"""2018-04-29T09:12:00.000Z""",ded39e2a.cba8d,ENTER Check-In Area,Terminal 1,
"""2018-04-29T09:31:00.000Z""",ded39e2a.cba8d,ENTER Security Check,SEC-POS-2,
"""2018-04-29T10:01:00.000Z""",ded39e2a.cba8d,BOARD Aircraft,Terminal 1,B17
"""2018-04-29T09:23:00.000Z""",ded39e2a.cba8d,ENTER Security Lane,SEC-LANE-5,
"""2018-04-13T03:08:00.000Z""",11132210.565bae,ENTER Departure Hall,Terminal 1,
"""2018-04-13T03:28:00.000Z""",11132210.565bae,LEAVING Departure Hall,Terminal 1,
"""2018-09-23T11:30:00.000Z""",572d6fb0.4e216,ENTER Departure Hall,Terminal 1,
"""2018-09-23T11:40:00.000Z""",572d6fb0.4e216,LEAVING Departure Hall,Terminal 1,
"""2018-12-29T14:41:00.000Z""",cabaf8f3.6595d8,ENTER Departure Hall,Terminal 1,
"""2018-12-29T15:11:00.000Z""",cabaf8f3.6595d8,LEAVE Security Check,SEC-POS-2,
"""2018-12-29T15:25:00.000Z""",cabaf8f3.6595d8,LEAVE Duty Free Area,Terminal 1,
"""2018-12-29T16:31:00.000Z""",cabaf8f3.6595d8,LEAVE Dining Area,Terminal 1,
"""2018-12-29T16:43:00.000Z""",cabaf8f3.6595d8,ENTER Bording Gate Area,Terminal 1,A19
"""2018-12-29T15:07:00.000Z""",cabaf8f3.6595d8,ENTER Security Check,SEC-POS-2,
"""2018-12-29T15:17:00.000Z""",cabaf8f3.6595d8,ENTER Duty Free Area,Terminal 1,
"""2018-12-29T15:41:00.000Z""",cabaf8f3.6595d8,ENTER Dining Area,Terminal 1,
"""2018-12-29T17:23:00.000Z""",cabaf8f3.6595d8,BOARD Aircraft,Terminal 1,A19
"""2018-12-29T14:51:00.000Z""",cabaf8f3.6595d8,ENTER Security Lane,SEC-LANE-5,
"""2018-08-08T03:50:00.000Z""",5b227345.dfaaec,ENTER Departure Hall,Terminal 1,
"""2018-08-08T04:20:00.000Z""",5b227345.dfaaec,LEAVE Security Check,SEC-POS-2,
"""2018-08-08T05:26:00.000Z""",5b227345.dfaaec,LEAVE Dining Area,Terminal 1,
"""2018-08-08T05:38:00.000Z""",5b227345.dfaaec,ENTER Bording Gate Area,Terminal 1,B18
"""2018-08-08T04:16:00.000Z""",5b227345.dfaaec,ENTER Security Check,SEC-POS-2,
"""2018-08-08T04:36:00.000Z""",5b227345.dfaaec,ENTER Dining Area,Terminal 1,
"""2018-08-08T06:18:00.000Z""",5b227345.dfaaec,BOARD Aircraft,Terminal 1,B18
"""2018-08-08T04:00:00.000Z""",5b227345.dfaaec,ENTER Security Lane,SEC-LANE-5,
"""2018-09-26T11:46:00.000Z""",1dfeb71b.f54b99,ENTER Departure Hall,Terminal 1,
"""2018-09-26T12:01:00.000Z""",1dfeb71b.f54b99,LEAVE Security Check,SEC-POS-2,
"""2018-09-26T12:07:00.000Z""",1dfeb71b.f54b99,ENTER Bording Gate Area,Terminal 1,B16
"""2018-09-26T11:59:00.000Z""",1dfeb71b.f54b99,ENTER Security Check,SEC-POS-2,
"""2018-09-26T12:27:00.000Z""",1dfeb71b.f54b99,BOARD Aircraft,Terminal 1,B16
"""2018-09-26T11:51:00.000Z""",1dfeb71b.f54b99,ENTER Security Lane,SEC-LANE-5,
"""2018-10-25T05:52:00.000Z""",cbdabff0.4873,ENTER Departure Hall,Terminal 1,
"""2018-10-25T06:14:00.000Z""",cbdabff0.4873,LEAVE Check-In Area,Terminal 1,
"""2018-10-25T06:44:00.000Z""",cbdabff0.4873,LEAVE Security Check,SEC-POS-2,
"""2018-10-25T06:48:00.000Z""",cbdabff0.4873,Passport Control,Border-Control Booth 1,
"""2018-10-25T07:00:00.000Z""",cbdabff0.4873,ENTER Bording Gate Area,Terminal 1,B8
"""2018-10-25T06:02:00.000Z""",cbdabff0.4873,ENTER Check-In Area,Terminal 1,
"""2018-10-25T06:40:00.000Z""",cbdabff0.4873,ENTER Security Check,SEC-POS-2,
"""2018-10-25T07:40:00.000Z""",cbdabff0.4873,BOARD Aircraft,Terminal 1,B8
"""2018-10-25T06:24:00.000Z""",cbdabff0.4873,ENTER Security Lane,SEC-LANE-5,
"""2018-10-05T12:21:00.000Z""",fed5fe27.f539b,ENTER Departure Hall,Terminal 1,
"""2018-10-05T12:43:00.000Z""",fed5fe27.f539b,LEAVE Check-In Area,Terminal 1,
"""2018-10-05T13:13:00.000Z""",fed5fe27.f539b,LEAVE Security Check,SEC-POS-2,
"""2018-10-05T13:27:00.000Z""",fed5fe27.f539b,LEAVE Duty Free Area,Terminal 1,
"""2018-10-05T14:33:00.000Z""",fed5fe27.f539b,LEAVE Dining Area,Terminal 1,
"""2018-10-05T14:45:00.000Z""",fed5fe27.f539b,ENTER Bording Gate Area,Terminal 1,B17
"""2018-10-05T12:31:00.000Z""",fed5fe27.f539b,ENTER Check-In Area,Terminal 1,
"""2018-10-05T13:09:00.000Z""",fed5fe27.f539b,ENTER Security Check,SEC-POS-2,
"""2018-10-05T13:19:00.000Z""",fed5fe27.f539b,ENTER Duty Free Area,Terminal 1,
"""2018-10-05T13:43:00.000Z""",fed5fe27.f539b,ENTER Dining Area,Terminal 1,
"""2018-10-05T15:25:00.000Z""",fed5fe27.f539b,BOARD Aircraft,Terminal 1,B17
"""2018-10-05T12:53:00.000Z""",fed5fe27.f539b,ENTER Security Lane,SEC-LANE-5,
"""2018-09-21T04:54:00.000Z""",b856d2ee.d7184,ENTER Departure Hall,Terminal 1,
"""2018-09-21T05:24:00.000Z""",b856d2ee.d7184,LEAVE Security Check,SEC-POS-2,
"""2018-09-21T05:38:00.000Z""",b856d2ee.d7184,LEAVE Duty Free Area,Terminal 1,
"""2018-09-21T06:44:00.000Z""",b856d2ee.d7184,LEAVE Dining Area,Terminal 1,
"""2018-09-21T06:56:00.000Z""",b856d2ee.d7184,ENTER Bording Gate Area,Terminal 1,A1
"""2018-09-21T05:20:00.000Z""",b856d2ee.d7184,ENTER Security Check,SEC-POS-2,
"""2018-09-21T05:54:00.000Z""",b856d2ee.d7184,ENTER Dining Area,Terminal 1,
"""2018-09-21T07:36:00.000Z""",b856d2ee.d7184,BOARD Aircraft,Terminal 1,A1
"""2018-09-21T05:04:00.000Z""",b856d2ee.d7184,ENTER Security Lane,SEC-LANE-5,
"""2018-09-21T05:30:00.000Z""",b856d2ee.d7184,ENTER Duty Free Area,Terminal 1,
"""2018-11-23T13:11:00.000Z""",d50aaabc.193518,ENTER Departure Hall,Terminal 1,
"""2018-11-23T13:41:00.000Z""",d50aaabc.193518,LEAVE Security Check,SEC-POS-2,
"""2018-11-23T14:47:00.000Z""",d50aaabc.193518,LEAVE Dining Area,Terminal 1,
"""2018-11-23T14:59:00.000Z""",d50aaabc.193518,ENTER Bording Gate Area,Terminal 1,B8
"""2018-11-23T13:37:00.000Z""",d50aaabc.193518,ENTER Security Check,SEC-POS-2,
"""2018-11-23T13:21:00.000Z""",d50aaabc.193518,ENTER Security Lane,SEC-LANE-5,
"""2018-11-23T15:39:00.000Z""",d50aaabc.193518,BOARD Aircraft,Terminal 1,B8
"""2018-11-23T13:57:00.000Z""",d50aaabc.193518,ENTER Dining Area,Terminal 1,
"""2018-06-05T12:12:00.000Z""",10ee1fed.4a4f5,ENTER Departure Hall,Terminal 1,
"""2018-06-05T12:34:00.000Z""",10ee1fed.4a4f5,LEAVE Check-In Area,Terminal 1,
"""2018-06-05T13:04:00.000Z""",10ee1fed.4a4f5,LEAVE Security Check,SEC-POS-2,
"""2018-06-05T13:16:00.000Z""",10ee1fed.4a4f5,ENTER Bording Gate Area,Terminal 1,B3
"""2018-06-05T12:22:00.000Z""",10ee1fed.4a4f5,ENTER Check-In Area,Terminal 1,
"""2018-06-05T13:00:00.000Z""",10ee1fed.4a4f5,ENTER Security Check,SEC-POS-2,
"""2018-06-05T13:56:00.000Z""",10ee1fed.4a4f5,BOARD Aircraft,Terminal 1,B3
"""2018-06-05T12:44:00.000Z""",10ee1fed.4a4f5,ENTER Security Lane,SEC-LANE-5,
"""2018-05-19T03:35:00.000Z""",f34dd64e.0538b8,ENTER Departure Hall,Terminal 1,
"""2018-05-19T04:05:00.000Z""",f34dd64e.0538b8,LEAVE Security Check,SEC-POS-2,
"""2018-05-19T04:19:00.000Z""",f34dd64e.0538b8,LEAVE Duty Free Area,Terminal 1,
"""2018-05-19T04:31:00.000Z""",f34dd64e.0538b8,ENTER Bording Gate Area,Terminal 1,B15
"""2018-05-19T04:01:00.000Z""",f34dd64e.0538b8,ENTER Security Check,SEC-POS-2,
"""2018-05-19T05:11:00.000Z""",f34dd64e.0538b8,BOARD Aircraft,Terminal 1,B15
"""2018-05-19T03:45:00.000Z""",f34dd64e.0538b8,ENTER Security Lane,SEC-LANE-5,
"""2018-05-19T04:11:00.000Z""",f34dd64e.0538b8,ENTER Duty Free Area,Terminal 1,
"""2018-03-15T13:55:00.000Z""",7fde8d6f.9536d4,ENTER Departure Hall,Terminal 1,
"""2018-03-15T14:25:00.000Z""",7fde8d6f.9536d4,LEAVE Security Check,SEC-POS-2,
"""2018-03-15T15:25:00.000Z""",7fde8d6f.9536d4,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-03-15T16:31:00.000Z""",7fde8d6f.9536d4,LEAVE Dining Area,Terminal 1,
"""2018-03-15T16:43:00.000Z""",7fde8d6f.9536d4,ENTER Bording Gate Area,Terminal 1,A9
"""2018-03-15T14:21:00.000Z""",7fde8d6f.9536d4,ENTER Security Check,SEC-POS-2,
"""2018-03-15T15:41:00.000Z""",7fde8d6f.9536d4,ENTER Dining Area,Terminal 1,
"""2018-03-15T14:05:00.000Z""",7fde8d6f.9536d4,ENTER Security Lane,SEC-LANE-5,
"""2018-03-15T17:23:00.000Z""",7fde8d6f.9536d4,BOARD Aircraft,Terminal 1,A9
"""2018-03-15T14:35:00.000Z""",7fde8d6f.9536d4,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-12-02T10:38:00.000Z""",238da2d7.3d0b9e,ENTER Departure Hall,Terminal 1,
"""2018-12-02T10:49:00.000Z""",238da2d7.3d0b9e,LEAVE Check-In Area,Terminal 1,
"""2018-12-02T11:04:00.000Z""",238da2d7.3d0b9e,LEAVE Security Check,SEC-POS-2,
"""2018-12-02T11:37:00.000Z""",238da2d7.3d0b9e,LEAVE Dining Area,Terminal 1,
"""2018-12-02T11:43:00.000Z""",238da2d7.3d0b9e,ENTER Bording Gate Area,Terminal 1,A8
"""2018-12-02T10:43:00.000Z""",238da2d7.3d0b9e,ENTER Check-In Area,Terminal 1,
"""2018-12-02T11:02:00.000Z""",238da2d7.3d0b9e,ENTER Security Check,SEC-POS-2,
"""2018-12-02T12:03:00.000Z""",238da2d7.3d0b9e,BOARD Aircraft,Terminal 1,A8
"""2018-12-02T10:54:00.000Z""",238da2d7.3d0b9e,ENTER Security Lane,SEC-LANE-5,
"""2018-12-02T11:12:00.000Z""",238da2d7.3d0b9e,ENTER Dining Area,Terminal 1,
"""2018-10-12T08:18:00.000Z""",341772e8.b9c34e,ENTER Departure Hall,Terminal 1,
"""2018-10-12T08:48:00.000Z""",341772e8.b9c34e,LEAVING Departure Hall,Terminal 1,
"""2018-03-04T16:21:00.000Z""",387e9977.b01146,ENTER Departure Hall,Terminal 1,
"""2018-03-04T17:30:00.000Z""",387e9977.b01146,LEAVE Security Check,SEC-POS-2,
"""2018-03-04T19:00:00.000Z""",387e9977.b01146,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-03-04T20:39:00.000Z""",387e9977.b01146,LEAVE Dining Area,Terminal 1,
"""2018-03-04T20:57:00.000Z""",387e9977.b01146,ENTER Bording Gate Area,Terminal 1,B17
"""2018-03-04T16:45:00.000Z""",387e9977.b01146,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-03-04T17:24:00.000Z""",387e9977.b01146,ENTER Security Check,SEC-POS-2,
"""2018-03-04T17:45:00.000Z""",387e9977.b01146,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-03-04T19:24:00.000Z""",387e9977.b01146,ENTER Dining Area,Terminal 1,
"""2018-03-04T21:57:00.000Z""",387e9977.b01146,BOARD Aircraft,Terminal 1,B17
"""2018-03-04T16:36:00.000Z""",387e9977.b01146,ENTER Baggage-Drop Area,Terminal 1,
"""2018-03-04T17:00:00.000Z""",387e9977.b01146,ENTER Security Lane,SEC-LANE-5,
"""2018-12-04T09:30:00.000Z""",a8ba94bd.13ea28,ENTER Departure Hall,Terminal 1,
"""2018-12-04T09:54:00.000Z""",a8ba94bd.13ea28,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-12-04T10:39:00.000Z""",a8ba94bd.13ea28,LEAVE Security Check,SEC-POS-2,
"""2018-12-04T12:09:00.000Z""",a8ba94bd.13ea28,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-12-04T13:48:00.000Z""",a8ba94bd.13ea28,LEAVE Dining Area,Terminal 1,
"""2018-12-04T14:06:00.000Z""",a8ba94bd.13ea28,ENTER Bording Gate Area,Terminal 1,B8
"""2018-12-04T09:45:00.000Z""",a8ba94bd.13ea28,ENTER Baggage-Drop Area,Terminal 1,
"""2018-12-04T10:33:00.000Z""",a8ba94bd.13ea28,ENTER Security Check,SEC-POS-2,
"""2018-12-04T15:06:00.000Z""",a8ba94bd.13ea28,BOARD Aircraft,Terminal 1,B8
"""2018-12-04T12:33:00.000Z""",a8ba94bd.13ea28,ENTER Dining Area,Terminal 1,
"""2018-12-04T10:54:00.000Z""",a8ba94bd.13ea28,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-12-04T10:09:00.000Z""",a8ba94bd.13ea28,ENTER Security Lane,SEC-LANE-5,
"""2018-06-05T07:42:00.000Z""",d494583a.d23aa8,ENTER Departure Hall,Terminal 1,
"""2018-06-05T08:06:00.000Z""",d494583a.d23aa8,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-06-05T08:51:00.000Z""",d494583a.d23aa8,LEAVE Security Check,SEC-POS-2,
"""2018-06-05T10:21:00.000Z""",d494583a.d23aa8,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-06-05T10:42:00.000Z""",d494583a.d23aa8,LEAVE Duty Free Area,Terminal 1,
"""2018-06-05T11:00:00.000Z""",d494583a.d23aa8,ENTER Bording Gate Area,Terminal 1,B13
"""2018-06-05T07:57:00.000Z""",d494583a.d23aa8,ENTER Baggage-Drop Area,Terminal 1,
"""2018-06-05T08:45:00.000Z""",d494583a.d23aa8,ENTER Security Check,SEC-POS-2,
"""2018-06-05T10:30:00.000Z""",d494583a.d23aa8,ENTER Duty Free Area,Terminal 1,
"""2018-06-05T12:00:00.000Z""",d494583a.d23aa8,BOARD Aircraft,Terminal 1,B13
"""2018-06-05T08:21:00.000Z""",d494583a.d23aa8,ENTER Security Lane,SEC-LANE-5,
"""2018-06-05T09:06:00.000Z""",d494583a.d23aa8,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-08-08T16:18:00.000Z""",55517e75.86c5e,ENTER Departure Hall,Terminal 1,
"""2018-08-08T17:03:00.000Z""",55517e75.86c5e,LEAVE Security Check,SEC-POS-2,
"""2018-08-08T17:09:00.000Z""",55517e75.86c5e,Passport Control,Border-Control Booth 1,
"""2018-08-08T17:30:00.000Z""",55517e75.86c5e,LEAVE Duty Free Area,Terminal 1,
"""2018-08-08T19:09:00.000Z""",55517e75.86c5e,LEAVE Dining Area,Terminal 1,
"""2018-08-08T19:27:00.000Z""",55517e75.86c5e,ENTER Bording Gate Area,Terminal 1,B10
"""2018-08-08T16:57:00.000Z""",55517e75.86c5e,ENTER Security Check,SEC-POS-2,
"""2018-08-08T17:18:00.000Z""",55517e75.86c5e,ENTER Duty Free Area,Terminal 1,
"""2018-08-08T20:27:00.000Z""",55517e75.86c5e,BOARD Aircraft,Terminal 1,B10
"""2018-08-08T16:33:00.000Z""",55517e75.86c5e,ENTER Security Lane,SEC-LANE-5,
"""2018-08-08T17:54:00.000Z""",55517e75.86c5e,ENTER Dining Area,Terminal 1,
"""2018-09-07T15:30:00.000Z""",54eb81a7.b363a,ENTER Departure Hall,Terminal 1,
"""2018-09-07T16:15:00.000Z""",54eb81a7.b363a,LEAVE Security Check,SEC-POS-2,
"""2018-09-07T16:36:00.000Z""",54eb81a7.b363a,LEAVE Duty Free Area,Terminal 1,
"""2018-09-07T18:15:00.000Z""",54eb81a7.b363a,LEAVE Dining Area,Terminal 1,
"""2018-09-07T18:33:00.000Z""",54eb81a7.b363a,ENTER Bording Gate Area,Terminal 1,A4
"""2018-09-07T16:09:00.000Z""",54eb81a7.b363a,ENTER Security Check,SEC-POS-2,
"""2018-09-07T17:00:00.000Z""",54eb81a7.b363a,ENTER Dining Area,Terminal 1,
"""2018-09-07T19:33:00.000Z""",54eb81a7.b363a,BOARD Aircraft,Terminal 1,A4
"""2018-09-07T15:45:00.000Z""",54eb81a7.b363a,ENTER Security Lane,SEC-LANE-5,
"""2018-09-07T16:24:00.000Z""",54eb81a7.b363a,ENTER Duty Free Area,Terminal 1,
"""2018-05-20T07:37:00.000Z""",2772ae30.c9e712,ENTER Departure Hall,Terminal 1,
"""2018-05-20T08:01:00.000Z""",2772ae30.c9e712,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-05-20T08:46:00.000Z""",2772ae30.c9e712,LEAVE Security Check,SEC-POS-2,
"""2018-05-20T10:16:00.000Z""",2772ae30.c9e712,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-05-20T11:55:00.000Z""",2772ae30.c9e712,LEAVE Dining Area,Terminal 1,
"""2018-05-20T12:13:00.000Z""",2772ae30.c9e712,ENTER Bording Gate Area,Terminal 1,B13
"""2018-05-20T07:52:00.000Z""",2772ae30.c9e712,ENTER Baggage-Drop Area,Terminal 1,
"""2018-05-20T08:40:00.000Z""",2772ae30.c9e712,ENTER Security Check,SEC-POS-2,
"""2018-05-20T09:01:00.000Z""",2772ae30.c9e712,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-05-20T10:40:00.000Z""",2772ae30.c9e712,ENTER Dining Area,Terminal 1,
"""2018-05-20T13:13:00.000Z""",2772ae30.c9e712,BOARD Aircraft,Terminal 1,B13
"""2018-05-20T08:16:00.000Z""",2772ae30.c9e712,ENTER Security Lane,SEC-LANE-5,
"""2018-05-22T07:34:00.000Z""",48cbf0f3.a0955,ENTER Departure Hall,Terminal 1,
"""2018-05-22T08:19:00.000Z""",48cbf0f3.a0955,LEAVE Security Check,SEC-POS-2,
"""2018-05-22T09:49:00.000Z""",48cbf0f3.a0955,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-05-22T10:10:00.000Z""",48cbf0f3.a0955,LEAVE Duty Free Area,Terminal 1,
"""2018-05-22T11:49:00.000Z""",48cbf0f3.a0955,LEAVE Dining Area,Terminal 1,
"""2018-05-22T12:07:00.000Z""",48cbf0f3.a0955,ENTER Bording Gate Area,Terminal 1,A4
"""2018-05-22T08:13:00.000Z""",48cbf0f3.a0955,ENTER Security Check,SEC-POS-2,
"""2018-05-22T08:34:00.000Z""",48cbf0f3.a0955,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-05-22T09:58:00.000Z""",48cbf0f3.a0955,ENTER Duty Free Area,Terminal 1,
"""2018-05-22T10:34:00.000Z""",48cbf0f3.a0955,ENTER Dining Area,Terminal 1,
"""2018-05-22T13:07:00.000Z""",48cbf0f3.a0955,BOARD Aircraft,Terminal 1,A4
"""2018-05-22T07:49:00.000Z""",48cbf0f3.a0955,ENTER Security Lane,SEC-LANE-5,
"""2018-06-06T13:11:00.000Z""",3ab5bd94.1a6d52,ENTER Departure Hall,Terminal 1,
"""2018-06-06T13:41:00.000Z""",3ab5bd94.1a6d52,LEAVE Security Check,SEC-POS-2,
"""2018-06-06T14:47:00.000Z""",3ab5bd94.1a6d52,LEAVE Dining Area,Terminal 1,
"""2018-06-06T14:59:00.000Z""",3ab5bd94.1a6d52,ENTER Bording Gate Area,Terminal 1,B11
"""2018-06-06T13:37:00.000Z""",3ab5bd94.1a6d52,ENTER Security Check,SEC-POS-2,
"""2018-06-06T13:57:00.000Z""",3ab5bd94.1a6d52,ENTER Dining Area,Terminal 1,
"""2018-06-06T15:39:00.000Z""",3ab5bd94.1a6d52,BOARD Aircraft,Terminal 1,B11
"""2018-06-06T13:21:00.000Z""",3ab5bd94.1a6d52,ENTER Security Lane,SEC-LANE-5,
"""2018-10-13T06:28:00.000Z""",8f89ccbf.25edb,ENTER Departure Hall,Terminal 1,
"""2018-10-13T07:13:00.000Z""",8f89ccbf.25edb,LEAVE Security Check,SEC-POS-2,
"""2018-10-13T07:34:00.000Z""",8f89ccbf.25edb,LEAVE Duty Free Area,Terminal 1,
"""2018-10-13T07:52:00.000Z""",8f89ccbf.25edb,ENTER Bording Gate Area,Terminal 1,B6
"""2018-10-13T07:07:00.000Z""",8f89ccbf.25edb,ENTER Security Check,SEC-POS-2,
